"Latest: Wavelength (nm)","Run 1: Absorbance","Run 2: Absorbance","Run 3: Absorbance","Run 4: Absorbance","Run 5: Absorbance","Run 6: Absorbance","Run 7: Absorbance","Run 8: Absorbance","Run 9: Absorbance","Run 10: Absorbance","Run 11: Absorbance","Run 12: Absorbance","Run 13: Absorbance","Run 14: Absorbance","Run 15: Absorbance","Latest: Absorbance"
"397","-0.00800662038471","-0.000573186951972","0.0019599553653","-0.00276322856798","-0.00657573469503","0.00269722128307","-0.00268149642109","0.000361104059766","-0.00152547706126","-0.00214427201302","0.00183582021899","-0.000959017415806","-0.00197951522854","-0.00121619681796","-0.00139841656791","0.000223185442044"
"397.8","-0.00778505425658","-0.000981765702369","0.00144067130574","-0.00369929321475","-0.00604017128328","0.0013443260049","-0.00306115462589","-0.000493001578416","-0.00260086752111","-0.00187858910926","0.000796404987067","-0.00186832081517","-0.00196778469948","-0.000490297561452","-0.00180169936007","-0.000783906951904"
"398.5","-0.00682867459782","-0.00127929504675","0.00125803245924","-0.00268630990669","-0.00598729177473","0.000667739424981","-0.00263194030341","0.000139342937383","-0.00179563709049","-0.00166950654213","0.00106902895218","-0.00120344183504","-0.00117610912217","-0.000529216469862","-0.00176321656929","-0.000797401958222"
"399.3","-0.00756684268236","-0.0024637722387","-0.000165146507959","-0.00246328533132","-0.00559002505028","-0.000660718060707","-0.00355365971695","-0.000850284817055","-0.00224870081852","-0.00296207912198","3.80397904431E-05","-0.00199608969489","-0.0015137519733","-0.000887328169027","-0.00250671532169","-0.00207621607793"
"400","-0.00656757541707","-0.00169447982188","-1.56851551223E-05","-0.00185659719604","-0.00512059904423","-0.000831373797799","-0.00433606764377","-0.000216982087849","-0.00172459802182","-0.00259541070676","0.000687094703393","-0.000596135550385","-0.000746658115019","-0.000997498884742","-0.0016141258819","-0.00162790434408"
"400.8","-0.0071298244498","-0.00190823036469","-0.00119265721092","-0.00207592616448","-0.00519722600489","-0.00185999163566","-0.00510154636058","-0.000500669881252","-0.00337267964575","-0.00405649274497","-2.18735100721E-05","-0.000702550161165","-0.00131832024858","-0.00165834572729","-0.00123990835182","-0.00296269021214"
"401.5","-0.0066497454959","-0.00184097968027","-0.00166684242377","-0.00292624508329","-0.00510968819529","-0.00228329259821","-0.00482496855879","-0.000248215440899","-0.00294891143882","-0.00453785075516","3.33444908478E-05","-0.000776992261715","-0.00167068741599","-0.00135663504087","-0.00107842740141","-0.00264278212724"
"402.3","-0.00708398091579","-0.00256127219615","-0.00293366250153","-0.00344772095731","-0.0046822968553","-0.00265672086157","-0.00523684492788","-0.000817561371727","-0.0036533064211","-0.00552047190115","-0.000724372169215","-0.00180804183563","-0.00277559535906","-0.00168122826091","-0.0017658150338","-0.00342286601835"
"403","-0.006450502037","-0.00240252297854","-0.00238295348589","-0.00363842420149","-0.00487022704461","-0.0026015735373","-0.00426278265935","-0.00105123952709","-0.00264852600913","-0.00494552687397","-0.000521719310233","-0.00199581528315","-0.0025417004218","-0.000859180622554","-0.00126478565354","-0.00265554953277"
"403.8","-0.00628267961464","-0.00226639814934","-0.00201875552395","-0.00348628772888","-0.00489905764729","-0.00228983485373","-0.00436756185537","-0.000782996737116","-0.00310370575883","-0.00422430918143","4.35320235503E-05","-0.00152528218452","-0.00177869574199","-0.000408843627092","-0.0011178098228","-0.00270396574287"
