"Latest: Wavelength (nm)","Run 3: Absorbance","Run 5: Absorbance","Run 7: Absorbance","Run 9: Absorbance","Run 11: Absorbance","Run 13: Absorbance","Run 15: Absorbance",,"Run 1: Absorbance"
"400","-1.56851551223E-05","-0.00512059904423","-0.00433606764377","-0.00172459802182","0.000687094703393","-0.000746658115019","-0.0016141258819",,"-0.00656757541707"
"400.8","-0.00119265721092","-0.00519722600489","-0.00510154636058","-0.00337267964575","-2.18735100721E-05","-0.00131832024858","-0.00123990835182",,"-0.0071298244498"
"401.5","-0.00166684242377","-0.00510968819529","-0.00482496855879","-0.00294891143882","3.33444908478E-05","-0.00167068741599","-0.00107842740141",,"-0.0066497454959"
"402.3","-0.00293366250153","-0.0046822968553","-0.00523684492788","-0.0036533064211","-0.000724372169215","-0.00277559535906","-0.0017658150338",,"-0.00708398091579"
"403","-0.00238295348589","-0.00487022704461","-0.00426278265935","-0.00264852600913","-0.000521719310233","-0.0025417004218","-0.00126478565354",,"-0.006450502037"
"403.8","-0.00201875552395","-0.00489905764729","-0.00436756185537","-0.00310370575883","4.35320235503E-05","-0.00177869574199","-0.0011178098228",,"-0.00628267961464"
"404.5","-0.00158673293047","-0.00510259940706","-0.00355700646931","-0.00281544504344","0.000542446102135","-0.00109403629316","-0.000465072561476",,"-0.00540022283033"
"405.3","-0.00147863834615","-0.00515432427886","-0.00434530442321","-0.00321157292629","0.00065442703499","-0.000591396360608","-0.000700034833558",,"-0.00527550991848"
"406","-0.00181204540347","-0.00520077933986","-0.00559826978121","-0.00281675028021","8.10516832668E-05","-0.00100279728311","-0.000669101974791",,"-0.00518236112648"
"406.8","-0.00220809791177","-0.00561703256956","-0.00552154325496","-0.00304111989794","-0.000338466342334","-0.00108927436656","-0.00113886601622",,"-0.00537709826086"
"407.5","-0.00273407656895","-0.00543011497927","-0.00538522172808","-0.00326276477333","-0.000928861372691","-0.00173148461529","-0.00124648349411",,"-0.00580999096686"
"408.2","-0.00297616199015","-0.00598050488861","-0.00455339339067","-0.00379301271106","-0.00117589736475","-0.00228037752347","-0.0018795080741",,"-0.00557709492578"
"409","-0.0029179850538","-0.00592265580669","-0.00517424174791","-0.00389493383924","-0.00118208208715","-0.00223683019366","-0.00218512570941",,"-0.00571485784266"
"409.7","-0.00270714246228","-0.0060885060945","-0.00518411468411","-0.0039980664105","-0.000881449017864","-0.00263255220842","-0.00216057231857",,"-0.00548966102841"
"410.5","-0.00239922915918","-0.00594057133416","-0.00553960561705","-0.00413700579286","-0.00114577091542","-0.00295062318792","-0.00218950046065",,"-0.00533540373528"
"411.2","-0.00223832414008","-0.00616412723678","-0.00514929326278","-0.00422939730757","-0.00144880864637","-0.00378542047498","-0.0023462309667",,"-0.00565034048208"
"412","-0.00277477743375","-0.006680269725","-0.00571405821206","-0.00498410846191","-0.00212842758486","-0.00418421921777","-0.0028420321818",,"-0.00552680457501"
"412.7","-0.00313146829907","-0.00649747535334","-0.00577024152114","-0.00538358878627","-0.00189086980747","-0.0037835451734","-0.002656279765",,"-0.00575085279985"
"413.5","-0.00299119387704","-0.00593891193139","-0.00624063454938","-0.00559234256521","-0.00163300797398","-0.00331432300674","-0.00239640873122",,"-0.00548017189695"
"414.2","-0.00293370296116","-0.00572168010468","-0.00642194135216","-0.00564983312801","-0.00166481605602","-0.00329402608379","-0.00240997673487",,"-0.00561700984583"
"415","-0.00250222659846","-0.00546317660417","-0.00610893457702","-0.00519099521839","-0.00124054661691","-0.00324628886029","-0.0023271246904",,"-0.00545817195519"
"415.7","-0.00323104348841","-0.00584169372678","-0.00632995757601","-0.00559171672202","-0.00156340755541","-0.00357712465344","-0.00245231545787",,"-0.00539304783964"
"416.5","-0.0033370362719","-0.00583367048648","-0.00645537724835","-0.00540606596118","-0.00147864939313","-0.00360857789029","-0.00272218345685",,"-0.00526140174191"
"417.2","-0.00355570500573","-0.00602001525769","-0.00689887824513","-0.00584460977811","-0.00207763867022","-0.00408802716731","-0.00292460144801",,"-0.00550225232703"
"418","-0.00319847491062","-0.00581849999541","-0.0072494092448","-0.00618141663096","-0.00240282686365","-0.00446431667989","-0.00316262184836",,"-0.00544062522377"
"418.7","-0.00337985817905","-0.0062948199321","-0.00692978775517","-0.00659066394664","-0.0023933758713","-0.00441489762922","-0.00322480613637",,"-0.00571452265684"
"419.5","-0.00351547013758","-0.0061916236661","-0.00710625944667","-0.00654131203408","-0.00256668873983","-0.0044731210499","-0.00341236280064",,"-0.00524245223921"
"420.2","-0.00367812326846","-0.00599618847353","-0.00677978207965","-0.00629569999681","-0.00229623284152","-0.00422354707108","-0.00350292333979",,"-0.0048877407061"
"420.9","-0.0031875684505","-0.00525026018946","-0.00666121985853","-0.00623420472635","-0.00224597796818","-0.00408339664355","-0.00320470041096",,"-0.0046058903453"
"421.7","-0.00337276011755","-0.00538353686462","-0.00658742362244","-0.00651010096314","-0.00248372433681","-0.00406962384062","-0.00337668591972",,"-0.00489595331066"
"422.4","-0.00332416370445","-0.00575844870845","-0.00657218840822","-0.0065163186223","-0.00277910358837","-0.00425107969546","-0.00353519518026",,"-0.00482128022813"
"423.2","-0.00345932743133","-0.00587762931687","-0.00664284648609","-0.00623670396992","-0.00255994106996","-0.00434197175026","-0.00331070090795",,"-0.0048240678407"
"423.9","-0.00361369280396","-0.00608685950578","-0.00649191060564","-0.00670382939458","-0.00197930981403","-0.0044875870431","-0.00310224361601",,"-0.00494356833773"
"424.7","-0.00386828788778","-0.00603810849537","-0.00620182805942","-0.00684441355743","-0.00116910488167","-0.00437987199473","-0.00277844170971",,"-0.00504830354654"
"425.4","-0.00389414116623","-0.00591755632419","-0.00611625019856","-0.00728877764565","-0.00143561403525","-0.00427352555073","-0.00292824890165",,"-0.00482810077732"
"426.2","-0.00333852281795","-0.00537845375848","-0.006539251733","-0.00689324289057","-0.00203274140948","-0.0037641836858","-0.00243734343762",,"-0.00444005958258"
"426.9","-0.00288309913453","-0.00528564446686","-0.0065671256974","-0.00685368126421","-0.00251500568609","-0.0036946450451","-0.00261497978012",,"-0.00415814753413"
"427.7","-0.00283538338867","-0.00482414398522","-0.00665859836188","-0.00610669006264","-0.00231587680355","-0.00340001180044","-0.00251884504971",,"-0.00397849081563"
"428.4","-0.00301969600815","-0.00468054409136","-0.00612089796892","-0.00540200964949","-0.00200845011685","-0.00326656312804","-0.00263116817416",,"-0.0040205740902"
"429.2","-0.00314544417225","-0.00469012488703","-0.00636311734785","-0.00539492158964","-0.00196071963018","-0.00336401477527","-0.00256272092962",,"-0.0044117052294"
"429.9","-0.00304848840469","-0.00508619631766","-0.0065830971907","-0.00598741202372","-0.002236143722","-0.0039403749137","-0.00301269175364",,"-0.00502825353715"
"430.7","-0.00346943110754","-0.00546621618507","-0.00691687484619","-0.00667467228572","-0.00216375659999","-0.00447869120786","-0.00357053990052",,"-0.00528207061783"
"431.4","-0.00351393271957","-0.00526931852338","-0.00649246312998","-0.00645492306306","-0.00213043721748","-0.00413011030716","-0.00348115422602",,"-0.00504701272441"
